,PER,LOC,ORG,DAT
233, ویلیام هرشل شارل مسیه ادوین هابل, حمام حاج آقا تراب, دانشگاه تهران پژوهشگاه علوم انسانی و مطالعات فرهنگی دانشگاه آزاد اسلامی واحد علوم و تحقیقات تهران, سالهای ۱۳۶۶ تاریخ دوم ۴ ژوئن ۱۹۸۶
234, نیکلاس کوپرنیک, تپه گیان محل دفن, دانشگاه صنعتی شریف, روز ۱۷ اسفند ۱۳۲۹
235, گالیلئو گالیله یوهانس کپلر, شمال غربی مقبره باباپیر, رود کارون, در تاریخ ۲۷ اسفند ۱۳۲۹ در تاریخ ۲۹ اسفند ۱۳۲۹
236, ویلیام هرشل, خیابان انقلاب, اکد, در مورخ ۱۵ اردیبهشت ۱۳۳۰
237, لئونارد اویلر الکسیس ژان لو رون دالامبر, رودخانه گاماسیاب, امپراتوری روم, در سال بعد
238, ژوزف لویی لاگرانژ پیر سیمون لاپلاس, شهرستان نهاوند, جامعه ملل امپراتوری عثمانی, در ۱۹ تیر
239, بیگ بنگ, رود گاماسیاب, دولت‌شهر, در ۱۸ تیر
240, آیزاک نیوتن یوهانس کپلر, شهرستان صحنه استان کرمانشاه, امپراتوری اکد اکد, در تیر ۱۳۳۱
241, اریک کلپتون, نیروگاه برق آبی پرورش ماهی پرورش ماهی, امپراتوری اکد, از چند سال
242, جیمی هندریکس, گنبد کبود, عثمانی‌ها, سی تیر
243, فیل کالینز, شمال غربی ورازانه, روزنامه تایمز, سی تیر ۳۰ تیر
244, استیوی ری ون, قنات استان مرکزی استان‌های ایران, نیروهای مسلح عراق, در ۳۰ تیر ۱۳۳۱
245, رابرت جانسون, مرکزی شهر اراک, وزیر امور خارجه, سال ۱۳۳۱
246, اریک کلپتن, استان البرز استان قزوین استان همدان استان تهران استان لرستان استان اصفهان استان قم استان اصفهان, سازمان عفو بین‌الملل خبرگزاری آسوشیتدپرس, روز بعد
247, آلبرت اینشتین, استان مرکزی, مجلس عراق, در دوره دوم
248, ولفگانگ آمادئوس موتسارت, شهر اراک, دولت عراق نیروهای مسلح آمریکا, دوره دوم
249, امانوئل کانت, استان مرکزی تهران قزوین ساوه قم دماوند محلات, دولت فدرال نظام پارلمانی جمهوری اسلامی, در سال ۱۳۳۱
250, خلیل جبران, اراک کاشان استان مرکزی, دولت فدرال قوه مقننه, در بهمن ۱۳۳۱
251, جبران خلیل, استان مرکزی ماد بزرگ عراق عجم, ائتلاف دولت قانون, ۱۳۳۱/۱۲/۱۵ در صبح روز ۹ اسفند
252, تیمور لنگ, دوره سلجوقیان عراق عجم, ائتلاف میهنی عراق, ۹ اسفند ۱۳۳۱
253, عبدالقادر گیلانی, پارس ماد غرب ایران, اتحادیه میهنی کردستان, فصل ۱۷
254, مصلح‌الدین, سرزمین ماد, گروه قومیتی, دوم فصل ۱۷ شعبان شعبان دوم فصل ۱۷
255, نصر دوم سامانی, ماد سفلی, نیروی زمینی عراق, پس از چند روز
256, میخائیل گورباچف, کویر میقان دریاچه نمک رشته‌کوه البرز, نیروی هوایی عراق, در روز ۱۸ تیر
257, امامعلی رحمان, اقیانوس اطلس اقیانوس هند, رژیم بعث, روز ۲۳
258, امامعلی رحمانف نیروهای, شهرستان شازند, نجف, صبح روز ۲۳ در ۱۰/۵/۳۲
259, امامعلی رحمانف, شهرستان فراهان, فرهنگستان زبان فارسی, دیشب
260, اسلام کریموف, استان مرکزی شمال غربی, فرهنگستان زبان ایران, در ۲۱ مرداد ۱۳۳۲
261, امامعلی رحمانف امامعلی رحمان, استان مرکزی گوند کوه‌های زاگرس, موسسه گالوپ, در سال ۱۳۳۱ در سال بعد
262, ابن‌سینا فارابی, جاده چالوس, سمت, تا روز پایانی
263, گلرخسار مهدی اخوان ثالث شاملو سیمین بهبهانی, پارک جنگلی, دانشگاه برلین, ۲۸ مرداد ۱۳۸۶
264, عمر خیام, شهرستان محلات, انجمن جغرافیای ملی, در سالهای
265, امام‌علی رحمان, شهرستان ساوه, مرکز جرم, در روز ۲۸ مرداد
266, سعدی مسعود سعد سلمان, شهرستان زرندیه پرندک, شورای عالی حوزه‌های علمیه, از ۱۲ سالگی
267, عبدالله خان, استان مرکزی استان‌های ایران, حوزه علمیه قم, ۱۲ سال از ۱۲ سالگی روزها
268, لرد کرزن فرخی یزدی, استان تهران شهر تهران, قم, در سال ۱۳۲۹ در سال ۱۳۳۲
269, عبدالحسین تیمورتاش, دهستان رودبار, سلسله اشکانی ارمنستان, سه سال
270, احمد کسروی پزشک احمدی, دلیجان, دولت عثمانی, از روز ۲۵ مرداد تا روز ۲۸ مرداد
271, احمد کسروی سرپاس مختاری پزشک احمدی احمد کسروی سرپاس مختاری پزشک احمدی, خلجستان, حکومت سوسیالیستی, تا صبح روز بعد
272, فرخی یزدی علی‌اصغر مونسان فرخی یزدی فرخی یزدی, آشتیان خورهه راهجرد فردقان, رود ارس, مهمی سه سال
273, علی شیرازی فرخی یزدی, استان مرکزی استان مرکزی, مجلس ارمنستان, ۱۳ سال بعد
274, مهرداد بهار, پالایشگاه نفت ایران شهرستان شازند, مجلس ملی جمهوری ارمنستان حزب جمهوری‌خواه ارمنستان, در روزهای آخر سال ۳۲ در سال ۱۳۴۲ ۸۴ سالگی
275, فروید یونگ لوسین لوی استروس فرای, امام خمینی, یونسکو, در تاریخ ۱۵ اسفند ۵۷ در سالروز
276, لوی استروس, شهرستان شازند اراک بروجرد, فرهنگ معاصر باشگاه شبانه, پس از دوازده سال
277, میرچا الیاده, استان مرکزی شهر اراک, سازمان باله ایران, از سال ۱۳۶۰ از سال ۱۳۸۹
278, رولان بارت, تالار بورس استان مرکزی تالار بورس, هنر علوم انسانی, در تاریخ شنبه ۷ آذر ۱۳۳۲
279, جیمز فریزر, فرودگاه بین‌المللی امام خمینی, دانش دانش, دیدی
280, برونیسلاو مالینوفسکی, نیروگاه شازند نیروگاه حرارتی, جمعیت نسوان وطنخواه, در روز ۲۹
281, ژرژ دومزیل, نیروگاه رودشور آزادراه تهران شهرستان زرندیه, انقلاب مشروطیت, در اردیبهشت ۱۳۴۰
282, لوی استروس کمال‌الدین مسعود خجندی کمال خجندی عرفان, آژانس بین‌المللی انرژی, انجمن اخوت, در سالهای بعد
283, کمال خجندی حافظ کمال‌الدین خجندی, نیروگاه‌های هسته‌ای, دوران مشروطه, ۳۰ تیر
284, تیبریوس, نیروگاه آب سنگین اراک, وزارت معارف, در اول اکتبر ۱۹۱۴
285, آتیلا, سد الغدیر ساوه نیروگاه‌های برق‌آبی, امپراطوری روم, در آبان ۱۲۹۳
286, ایشتوان یکم, فرودگاه استان مرکزی شهر دلیجان, طبیعت زنده, در سال ۱۳۰۴
287, سلطان سلیمان دوم, استان مرکزی فرودگاه اراک, پست امپرسیونیسم, دوره اول در سال ۱۳۰۴
288, مسیح, فرودگاه بین‌المللی, گروه اجتماعی, مهمه دوره بعد
289, بوریس سوم, استان مرکزی تهران قم استان لرستان استان همدان, پرسش, دوره دوم سال ۱۳۰۵
290, بویکو بوریسوف, بزرگراه استان مرکزی آزادراه تهران ساوه آزادراه ساوه خرم‌آباد سلفچگان ملایر خمین محلات دلیجان گلپایگان فرمهین شهرستان دلیجان استان همدان استان مرکزی شهرستان ملایر شهرستان کمیجان, دانشگاه تهران, ۱۳۲۳/۲/۲۳
291, ملک‌الشعرای بهار, استان مرکزی استان مرکزی استان مرکزی استان مرکزی استان مرکزی استان مرکزی استان مرکزی, آموزش و پرورش در ایران, در شش فصل دوره سوم
292, حضرت نوح, قالیچه, آموزش در ایران, در سال 1988
293, یزدگرد سوم, سمقاور شهرستان کمیجان ایران واستان, دانشگاه فرهنگیان, در سال ۷۰ در سال ۱۳۷۷
294, ناصرالدین‌شاه قاجار, نراق ساوه محلات خمین, حزب کمونیست شوروی, از ۵ هزار سال
295, شیخ علی قدوسی, استان مرکزی پیام نور, دولت وحدت ملی, ۲۵۰۰ سال قبل
296, محمود احمدی‌نژاد, پیست اسکی شازند پیست اسکی استان مرکزی شهرستان شازند شازند هندودر, فائو, ۱۲۰۰ سال قبل
297, هرودت, پیست اسکی, گروه قومی, ۲۹ ژوئن ۱۹۰۰ ۲۱ ژوئیه ۱۹۴۴
298, حسن روحانی, استان مرکزی شازند اراک محلات گلپایگان الیگودرز ازنا تهران, امت اسلام, در ماه ژوئیه ۱۹۴۴
299, شیخ علی, شهرستان خمین عراق عجم, وزارت ارشاد, قرن
300, نورالدین عراقی, عراق عجم شهرستان خمین, سازمان اوقاف و امور خیریه, قبل از چهارمین سال
301, عبدالکریم قریب, شهرستان خمین, زن, سالها
302, ابراهیم دهگان, شمال غربی, نشر آگه, در سال ۱۳۷۳
303, نعمت‌الله فاضلی, محلات گلپایگان بخش کمره شهرستان خمین استان مرکزی استان مرکزی استان تهران, سازمان میراث فرهنگی, تا چند سال
304, جلال‌الدین تهرانی, شهرستان خمین شمال غربی اراک بخش مرکزی شهرستان محلات بخش مرکزی شهرستان گلپایگان چاپلق شهرستان الیگودرز, بنیاد دائرهالمعارف اسلامی, در سال ۱۳۹۰
305, امیر زرگری, بخش مرکزی, ارتش ایران, در دوره ابتدایی
306, سالار محتشم سالار محتشم, شهرستان خمین شهرستان خمین, جنبش مشروطه, در سال ۱۸۷۶
307, سید روح‌الله خمینی, ایستگاه راه‌آهن اراک گلپایگان میمه اصفهان, مشروطه خواهان, اواسط قرن نوزدهم
308, خوارزمی خوارزمی, فرودگاه اراک, حزب دموکرات ایران, در سال ۱۸۵۴ چهارصد ساعت
309, مهندسی برق, اراک اصفهان, فرقه دموکرات آذربایجان, تا چهل ساعت
310, استیون هاوکینگ, پایانه مسافربری, ارتش ایران فرقه دموکرات, پانصد ساعت
311, فرد هویل, دانشگاه پیام نور علوم پزشکی فنی حرفه‌ای, حزب جمهوری خلق مسلمان ایران, در شب ۳۱ دسامبر ۱۸۷۹
312, استیون هاوکینگ راجر پنروز, تهیق دوره سلجوقیان عراق عجم ایلخانان, پاسداران انقلاب اسلامی, در ۲۷ ژانویه ۱۸۸۰
313, کیپ ثورن, اشمسیان, حزب خلق مسلمان, در ۱۳ فوریه ۱۸۸۰
314, طارق علی ونسا ردگریو, خوانسار گلپایگان محلات نیم ور سلفچگان قم شهرستان الیگودرز, نیروی هوایی ارتش عراق, در سال ۱۸۹۲
315, شیمون پرز, شهرستان الیگودرز الیگودرز, جمهوری اسلامی ایران, دریک زمان
316, دونالد ترامپ, آکسفورد, مراکز خرید, ۲۸ دسامبر ۱۸۹۵
